,Unnamed: 0.1,Unnamed: 0,Car_company,Registered_year,Engine_capacity,Insurance_type,Resale_price_lakh,KM_driven,Transmission_type,Owner_type,Max_power_bhp,Fuel_type,Seats,Mileage,Body_type,City,Car_model,VIN,Extra_info
4890,4890,4890,Honda,2013,2354.0,Comprehensive,6.66,96000.0,Automatic,2nd Owner,152.0,Petrol,5.0,10.1,SUV,Ahmedabad,CR-V,DJH6V2BJ215GH58HX,2.4 AT
4891,4891,4891,Toyota,2011,1496.0,Comprehensive,3.25,70000.0,Manual,2nd Owner,88.7,Petrol,5.0,17.6,Sedan,Ahmedabad,Etios,H2YKSX490DJATF7FE,VX
4892,4892,4892,Chevrolet,2014,1399.0,Comprehensive,3.9,45000.0,Manual,1st Owner,98.82,Petrol,8.0,13.7,MUV,Ahmedabad,Enjoy,2C3XTG8NXKC9WFSAA,Petrol LT 8 Seater
4893,4893,4893,Honda,2019,1498.0,Comprehensive,9.25,50000.0,Manual,1st Owner,97.9,Diesel,5.0,25.6,Sedan,Ahmedabad,City,SLMHTXZLX1K3E4P5U,i-DTEC V
4894,4894,4894,Maruti,2013,998.0,Comprehensive,2.9,63000.0,Automatic,1st Owner,66.1,Petrol,5.0,16.98,Hatchback,Ahmedabad,A-Star,A17FGD498MNUTP0CJ,AT VXI
4895,4895,4895,Mahindra,2017,2179.0,Comprehensive,9.75,83000.0,Manual,2nd Owner,140.0,Diesel,7.0,16.0,SUV,Ahmedabad,XUV500,FX0GXAPT7LMJRTP62,R W10 FWD
4896,4896,4896,Kia,2021,1493.0,Comprehensive,11.3,58000.0,Manual,1st Owner,98.63,Diesel,5.0,18.4,SUV,Ahmedabad,Sonet,RY3JM00S7HANUUBCR,HTX Diesel iMT BSVI
4897,4897,4897,Honda,2016,1497.0,Comprehensive,7.75,64000.0,Manual,1st Owner,117.3,Petrol,5.0,17.8,Sedan,Ahmedabad,City,5J5638X491HF0W4VN,i VTEC VX
4898,4898,4898,Hyundai,2015,1197.0,Comprehensive,5.9,62000.0,Manual,1st Owner,82.85,Petrol,5.0,18.5,Hatchback,Ahmedabad,i20,DTDZMXH69GRLHHCXP,Asta 1.2
4899,4899,4899,Mahindra,2022,2184.0,Comprehensive,16.9,14000.0,Automatic,1st Owner,130.0,Diesel,4.0,,SUV,Ahmedabad,Thar,4GW6R1TM79XH9N7EV,LX 4-Str Hard Top Diesel AT BSVI
4900,4900,4900,Maruti,2018,1248.0,Comprehensive,9.5,63000.0,Manual,1st Owner,88.5,Diesel,5.0,24.3,SUV,Ahmedabad,Vitara,V59JMY1L891M9KZEN,Brezza ZDi Plus
4901,4901,4901,Honda,2018,1498.0,Comprehensive,7.5,77000.0,Manual,1st Owner,98.6,Diesel,5.0,25.8,Sedan,Ahmedabad,Amaze,LZFXNR322V6HB93XH,VX i DTEC
4902,4902,4902,Ford,2014,1498.0,3rd Party,3.95,62000.0,Manual,2nd Owner,89.84,Diesel,5.0,22.7,SUV,Ahmedabad,Ecosport,KUCV539A08TKY53JN,1.5 DV5 MT Titanium
4903,4903,4903,Mercedes-Benz,2018,2143.0,Comprehensive,25.5,48000.0,Automatic,1st Owner,134.1,Diesel,5.0,17.9,Sedan,Ahmedabad,CLA,CKX2SG5K5K1C5BE46,Urban Sport 200d
4904,4904,4904,Volkswagen,2012,1199.0,Comprehensive,2.75,54000.0,Manual,2nd Owner,73.9,Diesel,5.0,22.07,Hatchback,Ahmedabad,Polo,U40FS6N16R92ZNPX2,Diesel Comfortline 1.2L
4905,4905,4905,Mahindra,2012,2179.0,Comprehensive,5.5,61000.0,Manual,1st Owner,140.0,Diesel,7.0,15.1,SUV,Ahmedabad,XUV500,W601LN0P7ZWF5FYKD,W8 FWD
4906,4906,4906,Hyundai,2019,1591.0,Comprehensive,12.25,34000.0,Automatic,2nd Owner,121.3,Petrol,5.0,13.0,SUV,Ahmedabad,Creta,F0FSUF924PB76HAY1,1.6 VTVT AT SX Plus
4907,4907,4907,Mahindra,2022,2198.0,Comprehensive,24.75,18000.0,Manual,1st Owner,182.38,Diesel,7.0,,SUV,Ahmedabad,XUV700,PN82MK7B8A7JF7CSH,AX7 Diesel Luxury Pack BSVI
